iso_alpha2,driving_side
AF,R
AL,R
DZ,R
AS,R
AD,R
AO,R
AI,L
AG,L
AR,R
AM,R
AW,R
AU,L
AT,R
AZ,R
BS,L
BH,R
BD,L
BB,L
BY,R
BE,R
BZ,R
BJ,R
BM,L
BT,L
BO,R
BA,R
BW,L
BR,R
IO,R
BN,L
BG,R
BF,R
BI,R
KH,R
CM,R
CA,R
CV,R
KY,L
CF,R
TD,R
CL,R
CN,R
CX,L
CC,L
CO,R
KM,R
CG,R
CD,R
CK,L
CR,R
CI,R
HR,R
CU,R
CY,L
CZ,R
DK,R
DJ,R
DM,L
DO,R
EC,R
EG,R
SV,R
GQ,R
ER,R
EE,R
ET,R
FK,L
FO,R
FJ,L
FI,R
FR,R
GF,R
PF,R
GA,R
GM,R
GE,R
DE,R
GH,R
GI,R
GR,R
GL,R
GD,L
GP,R
GU,R
GT,R
GG,L
GN,R
GW,R
GY,L
HT,R
VA,R
HN,R
HK,L
HU,R
IS,R
IN,L
ID,L
IR,R
IQ,R
IE,L
IM,L
IL,R
IT,R
JM,L
JP,L
JE,L
JO,R
KZ,R
KE,L
KI,L
KP,R
KR,R
KW,R
KG,R
LA,R
LV,R
LB,R
LS,L
LR,R
LY,R
LI,R
LT,R
LU,R
MO,L
MK,R
MG,R
MW,L
MY,L
MV,L
ML,R
MT,L
MH,R
MQ,R
MR,R
MU,L
YT,R
MX,R
FM,R
MD,R
MC,R
MN,R
ME,R
MS,L
MA,R
MZ,L
MM,R
NA,L
NR,L
NP,L
NL,R
NC,R
NZ,L
NI,R
NE,R
NG,R
NU,L
NF,L
MP,R
NO,R
OM,R
PK,L
PW,R
PS,R
PA,R
PG,L
PY,R
PE,R
PH,R
PN,L
PL,R
PT,R
PR,R
QA,R
RE,R
RO,R
RU,R
RW,R
BL,R
SH,L
KN,L
LC,L
MF,R
PM,R
VC,L
WS,L
SM,R
ST,R
SA,R
SN,R
RS,R
SC,L
SL,R
SG,L
SK,R
SI,R
SB,L
SO,R
ZA,L
ES,R
LK,L
SD,R
SR,L
SJ,R
SZ,L
SE,R
CH,R
SY,R
TW,R
TJ,R
TZ,L
TH,L
TL,L
TG,R
TK,L
TO,L
TT,L
TN,R
TR,R
TM,R
TC,L
TV,L
UG,L
UA,R
AE,R
GB,L
US,R
UY,R
UZ,R
VU,R
VE,R
VN,R
VG,L
VI,L
WF,R
EH,R
YE,R
ZM,L
ZW,L
AX,R
BQ,R
BV,R
CW,R
GS,R
HM,L
SS,R
SX,R
TF,R
UM,R
AQ,R
TA,L
XK,R